Medida;Etapa_ensino;Ano;Docentes
Educação Infantil;Educação Infantil;2012;198
Educação Infantil;Educação Infantil;2013;230
Educação Infantil;Educação Infantil;2014;236
Educação Infantil;Educação Infantil;2015;235
Educação Infantil;Educação Infantil;2016;264
Educação Infantil;Educação Infantil;2017;278
Educação Infantil;Educação Infantil;2018;269
Educação Infantil;Educação Infantil;2019;256
Educação Infantil;Educação Infantil;2020;245
Educação Infantil;Educação Infantil;2021;237
Educação Infantil;Educação Infantil;2022;274
Educação Infantil - Creche;Educação Básica;2007;12
Educação Infantil - Creche;Educação Básica;2008;23
Educação Infantil - Creche;Educação Básica;2009;36
Educação Infantil - Creche;Educação Básica;2010;81
Educação Infantil - Creche;Educação Básica;2011;113
Educação Infantil - Creche;Educação Básica;2012;106
Educação Infantil - Creche;Educação Básica;2013;158
Educação Infantil - Creche;Educação Básica;2014;164
Educação Infantil - Creche;Educação Básica;2015;162
Educação Infantil - Creche;Educação Básica;2016;196
Educação Infantil - Creche;Educação Básica;2017;207
Educação Infantil - Creche;Educação Básica;2018;197
Educação Infantil - Creche;Educação Básica;2019;183
Educação Infantil - Creche;Educação Básica;2020;186
Educação Infantil - Creche;Educação Básica;2021;180
Educação Infantil - Creche;Educação Básica;2022;190
Educação Infantil - Creche;Educação Infantil;2007;12
Educação Infantil - Creche;Educação Infantil;2008;23
Educação Infantil - Creche;Educação Infantil;2009;36
Educação Infantil - Creche;Educação Infantil;2010;81
Educação Infantil - Creche;Educação Infantil;2011;113
Educação Infantil - Creche;Educação Infantil;2012;106
Educação Infantil - Creche;Educação Infantil;2013;158
Educação Infantil - Creche;Educação Infantil;2014;164
Educação Infantil - Creche;Educação Infantil;2015;162
Educação Infantil - Creche;Educação Infantil;2016;196
Educação Infantil - Creche;Educação Infantil;2017;207
Educação Infantil - Creche;Educação Infantil;2018;197
Educação Infantil - Creche;Educação Infantil;2019;183
Educação Infantil - Creche;Educação Infantil;2020;186
Educação Infantil - Creche;Educação Infantil;2021;180
Educação Infantil - Creche;Educação Infantil;2022;190
Educação Infantil - Pré-escola;Educação Básica;2007;69
Educação Infantil - Pré-escola;Educação Básica;2008;71
Educação Infantil - Pré-escola;Educação Básica;2009;76
Educação Infantil - Pré-escola;Educação Básica;2010;86
Educação Infantil - Pré-escola;Educação Básica;2011;90
Educação Infantil - Pré-escola;Educação Básica;2012;111
Educação Infantil - Pré-escola;Educação Básica;2013;102
Educação Infantil - Pré-escola;Educação Básica;2014;102
Educação Infantil - Pré-escola;Educação Básica;2015;99
Educação Infantil - Pré-escola;Educação Básica;2016;98
Educação Infantil - Pré-escola;Educação Básica;2017;106
Educação Infantil - Pré-escola;Educação Básica;2018;116
Educação Infantil - Pré-escola;Educação Básica;2019;110
Educação Infantil - Pré-escola;Educação Básica;2020;102
Educação Infantil - Pré-escola;Educação Básica;2021;102
Educação Infantil - Pré-escola;Educação Básica;2022;121
Educação Infantil - Pré-escola;Educação Infantil;2007;69
Educação Infantil - Pré-escola;Educação Infantil;2008;71
Educação Infantil - Pré-escola;Educação Infantil;2009;76
Educação Infantil - Pré-escola;Educação Infantil;2010;86
Educação Infantil - Pré-escola;Educação Infantil;2011;90
Educação Infantil - Pré-escola;Educação Infantil;2012;111
Educação Infantil - Pré-escola;Educação Infantil;2013;102
Educação Infantil - Pré-escola;Educação Infantil;2014;102
Educação Infantil - Pré-escola;Educação Infantil;2015;99
Educação Infantil - Pré-escola;Educação Infantil;2016;98
Educação Infantil - Pré-escola;Educação Infantil;2017;106
Educação Infantil - Pré-escola;Educação Infantil;2018;116
Educação Infantil - Pré-escola;Educação Infantil;2019;110
Educação Infantil - Pré-escola;Educação Infantil;2020;102
Educação Infantil - Pré-escola;Educação Infantil;2021;102
Educação Infantil - Pré-escola;Educação Infantil;2022;121
Ensino Fundamental;Educação Básica;2007;503
Ensino Fundamental;Educação Básica;2008;520
Ensino Fundamental;Educação Básica;2009;539
Ensino Fundamental;Educação Básica;2010;543
Ensino Fundamental;Educação Básica;2011;539
Ensino Fundamental;Educação Básica;2012;555
Ensino Fundamental;Educação Básica;2013;538
Ensino Fundamental;Educação Básica;2014;575
Ensino Fundamental;Educação Básica;2015;552
Ensino Fundamental;Educação Básica;2016;557
Ensino Fundamental;Educação Básica;2017;550
Ensino Fundamental;Educação Básica;2018;558
Ensino Fundamental;Educação Básica;2019;534
Ensino Fundamental;Educação Básica;2020;558
Ensino Fundamental;Educação Básica;2021;578
Ensino Fundamental;Educação Básica;2022;594
Ensino Fundamental;Ensino Fundamental;2007;503
Ensino Fundamental;Ensino Fundamental;2008;520
Ensino Fundamental;Ensino Fundamental;2009;539
Ensino Fundamental;Ensino Fundamental;2010;543
Ensino Fundamental;Ensino Fundamental;2011;539
Ensino Fundamental;Ensino Fundamental;2012;555
Ensino Fundamental;Ensino Fundamental;2013;538
Ensino Fundamental;Ensino Fundamental;2014;575
Ensino Fundamental;Ensino Fundamental;2015;552
Ensino Fundamental;Ensino Fundamental;2016;557
Ensino Fundamental;Ensino Fundamental;2017;550
Ensino Fundamental;Ensino Fundamental;2018;558
Ensino Fundamental;Ensino Fundamental;2019;534
Ensino Fundamental;Ensino Fundamental;2020;558
Ensino Fundamental;Ensino Fundamental;2021;578
Ensino Fundamental;Ensino Fundamental;2022;594
Ensino Fundamental - Anos iniciais;Educação Básica;2007;272
Ensino Fundamental - Anos iniciais;Educação Básica;2008;281
Ensino Fundamental - Anos iniciais;Educação Básica;2009;279
Ensino Fundamental - Anos iniciais;Educação Básica;2010;278
Ensino Fundamental - Anos iniciais;Educação Básica;2011;266
Ensino Fundamental - Anos iniciais;Educação Básica;2012;272
Ensino Fundamental - Anos iniciais;Educação Básica;2013;278
Ensino Fundamental - Anos iniciais;Educação Básica;2014;288
Ensino Fundamental - Anos iniciais;Educação Básica;2015;276
Ensino Fundamental - Anos iniciais;Educação Básica;2016;274
Ensino Fundamental - Anos iniciais;Educação Básica;2017;290
Ensino Fundamental - Anos iniciais;Educação Básica;2018;285
Ensino Fundamental - Anos iniciais;Educação Básica;2019;281
Ensino Fundamental - Anos iniciais;Educação Básica;2020;267
Ensino Fundamental - Anos iniciais;Educação Básica;2021;266
Ensino Fundamental - Anos iniciais;Educação Básica;2022;299
Ensino Fundamental - Anos iniciais;Ensino Fundamental;2007;272
Ensino Fundamental - Anos iniciais;Ensino Fundamental;2008;281
Ensino Fundamental - Anos iniciais;Ensino Fundamental;2009;279
Ensino Fundamental - Anos iniciais;Ensino Fundamental;2010;278
Ensino Fundamental - Anos iniciais;Ensino Fundamental;2011;266
Ensino Fundamental - Anos iniciais;Ensino Fundamental;2012;272
Ensino Fundamental - Anos iniciais;Ensino Fundamental;2013;278
Ensino Fundamental - Anos iniciais;Ensino Fundamental;2014;288
Ensino Fundamental - Anos iniciais;Ensino Fundamental;2015;276
Ensino Fundamental - Anos iniciais;Ensino Fundamental;2016;274
Ensino Fundamental - Anos iniciais;Ensino Fundamental;2017;290
Ensino Fundamental - Anos iniciais;Ensino Fundamental;2018;285
Ensino Fundamental - Anos iniciais;Ensino Fundamental;2019;281
Ensino Fundamental - Anos iniciais;Ensino Fundamental;2020;267
Ensino Fundamental - Anos iniciais;Ensino Fundamental;2021;266
Ensino Fundamental - Anos iniciais;Ensino Fundamental;2022;299
Ensino Fundamental - Anos finais;Educação Básica;2007;275
Ensino Fundamental - Anos finais;Educação Básica;2008;281
Ensino Fundamental - Anos finais;Educação Básica;2009;313
Ensino Fundamental - Anos finais;Educação Básica;2010;320
Ensino Fundamental - Anos finais;Educação Básica;2011;328
Ensino Fundamental - Anos finais;Educação Básica;2012;334
